YEAR,BOISE,BOSTON,COLUMBUS,DES MOINES,MIAMI,NASHVILLE,NEW ORLEANS,PHOENIX,SALT LAKE CITY,SAN DIEGO,SAN FRANCISCO,ST. PAUL
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.3,0.2,1.2,1.9,0.5,0.8,-1.1,0.3,0.2,-0.1,-0.3,0.0
1953,0.9,0.9,1.7,2.6,0.6,1.0,-0.1,-0.1,1.4,0.5,0.0,-0.6
1954,0.6,-0.5,1.3,2.7,0.2,1.1,-0.4,1.6,1.2,0.6,-0.3,-1.2
1955,-0.7,-0.5,1.2,2.0,0.0,0.5,-0.1,-0.3,-0.7,0.0,-0.5,-1.6
1956,0.2,-0.9,1.0,2.0,0.0,0.9,-0.2,-0.2,0.5,0.5,-1.4,-2.3
1957,0.1,0.1,0.1,1.7,0.4,0.5,0.1,0.4,0.6,1.1,0.8,0.0
1958,1.8,-2.3,-0.5,1.3,-0.3,-1.0,-1.2,1.5,1.7,1.7,2.3,0.1
1959,0.6,-0.3,1.1,1.7,0.3,0.2,-0.8,1.1,0.6,1.9,1.8,-0.2
1960,0.7,-0.5,-0.1,1.5,-0.1,-1.0,-1.2,0.6,0.7,0.7,0.5,-1.0
1961,1.3,-0.7,0.2,1.3,0.3,-0.8,-1.5,0.1,1.0,0.6,0.6,-1.2
1962,0.2,-1.0,-0.6,1.2,-0.3,-0.2,-1.0,0.3,0.0,-0.1,0.2,-0.7
1963,1.5,-0.7,0.3,1.1,-0.3,-0.8,-1.6,0.5,0.6,0.7,0.2,-0.4
1964,-0.8,-1.2,0.1,1.5,0.6,0.1,-1.5,-1.2,-1.3,-0.1,0.2,-1.1
1965,0.6,-1.5,0.5,1.1,0.4,0.3,-1.3,-1.3,-0.1,0.1,-0.3,-1.3
1966,1.0,-0.4,-0.5,1.0,-0.5,-0.2,-1.8,0.2,0.9,0.4,0.1,-0.2
1967,1.3,-1.5,-0.3,1.1,0.3,-0.3,-1.1,0.0,0.7,0.5,0.5,1.3
1968,1.0,-1.0,0.0,1.3,-0.6,-1.0,-2.3,0.1,0.1,0.9,0.4,-1.0
1969,1.0,-0.6,-0.6,1.0,0.0,-0.4,-1.5,0.7,0.7,0.4,0.5,0.4
1970,1.2,-0.8,0.4,1.9,0.2,-0.3,-1.5,0.8,0.5,0.7,0.9,-0.7
1971,0.9,-0.5,0.1,2.0,0.5,0.0,-0.8,0.3,-0.1,0.1,-0.2,-2.0
1972,0.6,-0.8,-0.7,0.4,0.1,0.2,-0.8,1.4,0.9,0.7,0.2,-2.1
1973,1.7,-0.1,1.7,2.7,-1.7,0.7,-0.6,1.1,0.4,0.6,0.4,-1.4
1974,1.3,-0.7,1.0,2.1,1.0,0.3,-0.5,1.7,1.2,0.7,0.2,-1.7
1975,0.4,0.5,0.6,2.3,1.0,0.5,-1.1,0.5,0.0,0.2,-0.4,-2.0
1976,0.1,-1.1,-0.5,2.1,0.1,-1.0,-1.9,1.5,0.1,1.9,0.4,-2.7
1977,-0.4,-0.1,-0.3,2.9,0.0,-2.9,-0.9,2.9,1.1,1.6,0.4,-0.7
1978,0.6,-0.9,-0.7,1.4,0.1,-2.7,-0.8,2.1,1.5,2.0,0.8,1.3
1979,0.2,-0.1,-0.4,1.8,0.1,-0.9,-1.1,1.3,1.1,-0.1,1.1,2.4
1980,0.6,-0.9,-0.1,2.1,0.3,-0.6,-0.2,0.9,1.2,0.5,0.6,0.3
1981,0.8,-0.4,0.2,2.7,0.1,-0.2,-0.4,2.5,1.7,0.6,0.6,0.0
1982,-0.5,-0.8,-0.1,1.3,1.2,0.1,-0.1,1.9,0.3,1.6,-0.1,0.0
1983,0.7,0.5,0.4,2.3,-0.1,-0.1,-2.1,2.2,1.5,2.6,1.4,0.3
1984,-0.9,-0.4,0.2,1.9,-0.2,-0.3,-1.5,2.3,0.1,2.5,1.4,-0.7
1985,-1.8,-0.8,0.1,0.8,-0.1,-0.2,-1.1,1.9,0.6,1.2,0.5,-0.1
1986,1.1,-0.8,1.1,2.2,0.4,0.6,-0.5,1.4,1.1,1.0,1.2,-0.4
1987,1.7,-1.9,1.5,3.6,0.6,0.6,-1.0,1.7,1.4,0.5,1.4,-0.1
1988,1.2,-0.5,0.1,2.5,0.6,-0.2,-1.2,1.6,1.4,0.7,1.4,-0.8
1989,0.1,-1.1,-0.3,1.2,1.1,-0.1,-1.0,2.1,0.8,0.8,0.8,0.8
1990,1.0,0.5,1.6,2.7,1.5,1.6,0.1,1.3,1.5,1.0,1.0,0.1
1991,0.7,0.7,2.2,2.6,1.3,1.2,-0.3,2.3,0.6,0.3,0.9,-0.7
1992,1.9,-1.1,0.5,2.1,0.8,-0.1,-1.1,3.0,1.7,1.8,2.1,-1.1
1993,-0.7,-0.4,0.6,0.7,1.0,-0.1,-1.2,2.6,-0.3,1.0,1.7,0.7
1994,1.4,0.0,0.7,1.8,1.5,0.3,-0.7,2.0,2.2,0.6,0.5,-0.6
1995,1.3,-0.4,0.5,1.7,0.9,0.2,-0.4,2.3,1.7,0.9,1.2,-0.6
1996,1.4,-0.8,0.1,0.2,0.6,-0.5,-0.6,2.9,2.0,-0.1,1.4,1.4
1997,1.7,-0.8,0.1,1.3,1.0,-0.6,-0.6,2.6,1.5,1.6,2.0,0.0
1998,2.1,0.3,2.6,3.1,1.2,1.4,0.5,1.2,1.2,0.3,0.6,-0.2
1999,1.5,0.2,1.8,2.8,0.6,0.9,0.2,2.3,1.4,-0.2,0.2,-1.2
2000,1.6,-0.9,0.5,2.4,0.7,0.2,0.0,2.7,1.8,0.7,1.2,0.6
2001,1.7,0.1,1.5,2.5,0.7,0.3,-0.4,3.2,1.8,0.0,1.1,0.2
2002,1.4,0.3,1.6,2.5,1.2,0.4,-0.3,3.3,0.7,0.0,1.1,0.5
2003,2.8,-1.2,0.1,2.1,1.0,-0.3,-0.2,3.5,2.4,0.8,1.4,1.2
2004,1.8,-0.9,0.8,2.2,0.7,0.5,-0.2,2.8,0.8,1.3,1.8,1.1
2005,1.4,-0.7,1.1,3.1,0.6,0.7,0.2,3.1,1.5,1.0,1.5,1.5
2006,2.2,0.4,1.8,3.6,0.9,1.2,0.4,3.1,1.7,1.3,0.9,-0.5
2007,2.4,-0.4,1.8,2.6,1.3,1.7,0.0,3.5,1.8,0.3,0.8,-0.5
2008,1.4,-0.2,1.1,1.0,1.2,0.1,-0.2,2.9,0.7,0.8,0.9,-1.7
2009,1.5,-0.8,0.8,2.0,1.4,-0.1,0.1,3.3,0.8,1.0,1.2,-1.5
2010,1.9,0.9,1.2,2.7,0.1,0.2,-0.6,2.8,1.0,0.3,1.4,-1.8
2011,1.4,0.6,1.7,3.0,1.4,0.6,0.5,2.9,0.6,0.6,0.5,-0.3
2012,3.0,1.1,2.8,5.2,1.0,1.7,1.0,3.7,3.3,1.0,0.8,-2.3
2013,1.1,-0.1,1.2,2.2,1.3,0.0,-0.3,3.3,1.4,0.9,1.1,-0.7
2014,2.4,-0.6,0.4,1.5,1.2,-0.2,-0.7,3.9,2.7,2.9,3.3,1.5
2015,3.0,-0.4,1.0,3.6,2.0,1.1,0.9,3.7,3.1,2.8,2.4,1.3
2016,2.5,0.7,2.0,4.5,1.5,1.9,1.6,3.7,3.1,2.2,2.0,2.6
2017,1.7,0.7,2.3,4.0,2.0,1.8,0.8,4.0,3.0,2.1,2.1,0.9
